E-Y24556	4100
E-Y20219	2900
E-Z20769	2900
E-Y24438	600
E-Y33591	550
E-Z958	12000
E-CTS246	11000
E-Z15174	7000
E-Z5991	2300
E-FT402211	375
E-Z15196	1000
E-CTS10935	11000
E-FT327560	9200
E-Y610327	2600
E-CTS3380	9700
E-Z5993	8600
E-FT296631	6800
E-P110	6900
E-FTA12811	6500
E-L133	9700
E-CTS736	7900
E-FT216781	7500
E-Y197644	6200
E-Y125757	7900
E-CTS4038	0
E-Z5992	0
E-Z5985	9800
E-Z36224	2200
E-Y229931	150
E-Y127177	150
E-L94	9800
E-Z15068	9100
E-Z5986	9100
E-Z5987	3200
E-Y231116	2700
E-Z15029	2700
E-M9119	2200
E-FT333060	8900
E-Y478064	8900
E-Z5989	8900
E-Z5990	3200
E-Z14972	2400
E-Z14932	2400
E-Z14974	1400
E-Z14898	1250
E-Y316750	850
E-MF28713	125
E-FT402321	700
E-FT402336	50
E-FT402356	50
E-Y318152	150
E-FT402322	700
E-Y318823	50
E-P177	51100
E-M5557	41400
E-V38	39300
E-M329	25700
E-Y44826	10500
E-Y45541	900
E-Y239830	275
E-V2403	11900
E-Y175024	10800
E-Y175787	200
E-Y240064	5900
E-Y240395	5900
E-Y543297	4900
E-Y543270	50
E-Y28099	6600
E-Y376165	200
E-MF793250	600
E-FTE62152	275
E-Y28103	4900
E-Y61534	3800
E-Y446915	275
E-Y64885	3800
E-FTJ8185	125
E-FTJ9533	50
E-Y61024	200
E-Y28098	4100
E-Y272275	125
E-Y82981	450
E-Y28108	2400
E-Y28100	950
E-Y66039	500
E-FTE24024	125
E-M2	16400
E-FT183172	650
E-FT185527	125
E-Y231599	200
E-Y1705	14200
E-Y20829	11400
E-FGC41158	11000
E-Y230147	75
E-Y21681	10000
E-Z5994	4400
E-FT402827	4400
E-BY21025	4400
E-Y295023	4200
E-Y294486	425
E-Z22121	3500
E-Z22101	3500
E-FT400776	150
E-V1452	3500
E-Z5996	3500
E-Y169003	2900
E-Y169049	50
E-Z22149	2900
E-FT330396	2400
E-FT324632	2400
E-Z36386	1450
E-Y369952	50
E-Z5998	1250
E-Z6000	3500
E-V43	10200
E-V4257	5900
E-Y318668	2100
E-Z36357	5900
E-Y300583	3500
E-FT397181	550
E-FT400582	150
E-M4732	10200
E-BY75505	10200
E-Y252540	10200
E-M4895	9100
E-SK577	2900
E-FT397082	75
E-M4231	8500
E-Y201977	5100
E-Y202000	3800
E-Y201978	1250
E-FT327133	4500
E-Y210465	3000
E-SK854	1900
E-Y317394	275
E-U175	8300
E-CTS1036	7600
E-M3940	4300
E-CTS4700	5600
E-Z5940	4700
E-FT250226	4500
E-Y321022	1950
E-Z21624	5600
E-FT399610	5500
E-Y317644	50
E-Z21622	5300
E-Z5939	5300
E-CTS7860	3300
E-Y230099	50
E-Z21592	3200
E-CTS9419	2700
E-CTS205	2700
E-M4254	6000
E-BY69738	4900
E-FGC24071	4500
E-FGC24064	4000
E-Y310685	3000
E-Y375929	200
E-FTD9412	200
E-FGC24079	3400
E-Z36906	1500
E-FT397143	50
E-FGC24093	3400
E-FGC24073	1050
E-Y229963	125
E-Y22568	350
E-FGC24091	150
E-FGC36989	250
E-FGC36988	50
E-M4232	6000
E-Z5941	4800
E-Z21664	1500
E-CTS9123	1500
E-CTS1433	4800
E-FTD22075	4400
E-CTS618	4100
E-FT191782	4100
E-FT192663	4100
E-SK837	2900
E-Y129847	3900
E-BY135297	3900
E-Y163730	700
E-Y128696	1600
E-Y129814	1250
E-CTS462	50
E-Z1720	6000
E-M4217	4900
E-M4062	4600
E-FTC2852	3100
E-M4072	4600
E-FGC61964	3600
E-Y601266	2700
E-FGC61978	3600
E-FGC61961	3600
E-FGC61984	3400
E-CTS10689	3800
E-CTS11305	3600
E-Z21761	1650
E-Z5947	1650
E-Z5948	0
E-Y25272	2900
E-FT92286	2800
E-FT220775	2700
E-Y45673	2100
E-BY61160	200
E-FT394234	1800
E-FT394378	700
E-FTE93769	425
E-FT394658	350
E-FTC41251	350
E-BY44568	2600
E-Y622628	1650
E-Y150748	2400
E-BY53757	1850
E-Y150852	1000
E-BY74210	900
E-FTA87916	225
E-BY134860	2600
E-BY57207	1050
E-Y149984	150
E-BY175091	75
E-Y351999	700
E-FT185106	550
E-M4197	4200
E-F1823	1650
E-Z5942	1650
E-Z5943	0
E-Z5944	0
E-Z5946	0
E-M4198	2800
E-Y169405	1750
E-Y169292	1300
E-Y169368	50
